Requirement ID,Strategic Pillar,Suite Name,Test Name,Status
REQ-21CFR11-001,"{""Name"":""Reproducibility"",""name"":""Reproducibility""}","21 CFR Part 11 – Audit Trail: generated code artifact provenance","R script contains application semantic version",UNKNOWN
REQ-21CFR11-001,"{""Name"":""Reproducibility"",""name"":""Reproducibility""}","","Python script contains application semantic version",UNKNOWN
REQ-21CFR11-001,"{""Name"":""Reproducibility"",""name"":""Reproducibility""}","","SAS script contains application semantic version",UNKNOWN
REQ-21CFR11-001,"{""Name"":""Reproducibility"",""name"":""Reproducibility""}","","Stata script contains application semantic version",UNKNOWN
REQ-21CFR11-002,"{""Name"":""Reproducibility"",""name"":""Reproducibility""}","","R script contains a valid ISO 8601 generated-at timestamp",UNKNOWN
REQ-21CFR11-002,"{""Name"":""Reproducibility"",""name"":""Reproducibility""}","","Python script contains a valid ISO 8601 generated-at timestamp",UNKNOWN
REQ-21CFR11-002,"{""Name"":""Reproducibility"",""name"":""Reproducibility""}","","SAS script contains a valid ISO 8601 generated-at timestamp",UNKNOWN
REQ-21CFR11-002,"{""Name"":""Reproducibility"",""name"":""Reproducibility""}","","Stata script contains a valid ISO 8601 generated-at timestamp",UNKNOWN
REQ-21CFR11-003,"{""Name"":""Reproducibility"",""name"":""Reproducibility""}","","R script contains the trial protocol identifier",UNKNOWN
REQ-21CFR11-003,"{""Name"":""Reproducibility"",""name"":""Reproducibility""}","","Python script contains the trial protocol identifier",UNKNOWN
REQ-21CFR11-003,"{""Name"":""Reproducibility"",""name"":""Reproducibility""}","","SAS script contains the trial protocol identifier",UNKNOWN
REQ-21CFR11-003,"{""Name"":""Reproducibility"",""name"":""Reproducibility""}","","Stata script contains the trial protocol identifier",UNKNOWN
REQ-21CFR11-003,"{""Name"":""Reproducibility"",""name"":""Reproducibility""}","","results header displays the protocol identifier",UNKNOWN
REQ-21CFR11-004,"{""Name"":""Reproducibility"",""name"":""Reproducibility""}","","R script contains the PRNG seed initialisation statement",UNKNOWN
REQ-21CFR11-004,"{""Name"":""Reproducibility"",""name"":""Reproducibility""}","","Python script contains the PRNG seed initialisation statement",UNKNOWN
REQ-21CFR11-004,"{""Name"":""Reproducibility"",""name"":""Reproducibility""}","","SAS script contains the PRNG seed initialisation statement",UNKNOWN
REQ-21CFR11-004,"{""Name"":""Reproducibility"",""name"":""Reproducibility""}","","Stata script contains the PRNG seed initialisation statement",UNKNOWN
REQ-21CFR11-004,"{""Name"":""Reproducibility"",""name"":""Reproducibility""}","21 CFR Part 11 – Audit Trail: results grid metadata stamping","results header displays the randomization seed used for the schema",UNKNOWN
REQ-21CFR11-005,"{""Name"":""Reproducibility"",""name"":""Reproducibility""}","Standalone Script","Execute scripts/verify_audit_hash.py",PASS
REQ-21CFR11-005,"{""Name"":""Reproducibility"",""name"":""Reproducibility""}","Crypto Hash Cross-Language Parity Integration Suite","should generate the exact same SHA-256 hash as the Python verification utility for the reference mock payload",PASS
REQ-21CFR11-005,"{""Name"":""Reproducibility"",""name"":""Reproducibility""}","Crypto Hash Cross-Language Parity Integration Suite","should successfully verify the audit hash for ""standard_block"" scenario using external scripts",PASS
REQ-21CFR11-005,"{""Name"":""Reproducibility"",""name"":""Reproducibility""}","Crypto Hash Cross-Language Parity Integration Suite","should successfully verify the audit hash for ""minimization"" scenario using external scripts",PASS
REQ-21CFR11-005,"{""Name"":""Reproducibility"",""name"":""Reproducibility""}","Crypto Hash Cross-Language Parity Integration Suite","should successfully verify the audit hash for ""capped"" scenario using external scripts",PASS
REQ-21CFR11-005,"{""Name"":""Reproducibility"",""name"":""Reproducibility""}","Crypto Hash Cross-Language Parity Integration Suite","should successfully verify the audit hash for ""zero_padding"" scenario using external scripts",PASS
REQ-21CFR11-005,"{""Name"":""Reproducibility"",""name"":""Reproducibility""}","Crypto Hash Cross-Language Parity Integration Suite","should successfully verify the audit hash for ""complex_multi_strata"" scenario using external scripts",PASS
REQ-21CFR11-006,"{""Name"":""Reproducibility"",""name"":""Reproducibility""}","21 CFR Part 11 – Audit Trail: PDF export provenance","PDF export contains the application semantic version",UNKNOWN
REQ-21CFR11-006,"{""Name"":""Reproducibility"",""name"":""Reproducibility""}","","PDF export contains a valid ISO 8601 generated-at timestamp",UNKNOWN
REQ-21CFR11-006,"{""Name"":""Reproducibility"",""name"":""Reproducibility""}","","PDF export contains the trial protocol identifier",UNKNOWN
REQ-21CFR11-006,"{""Name"":""Reproducibility"",""name"":""Reproducibility""}","","PDF export contains the PRNG seed value",UNKNOWN
REQ-EXPORT-001,"{""Name"":""Reproducibility"",""name"":""Reproducibility""}","","CSV download filename contains a date component for traceability",UNKNOWN
REQ-EXPORT-002,"{""Name"":""Reproducibility"",""name"":""Reproducibility""}","","PDF export filename matches the expected pattern",UNKNOWN
REQ-EXPORT-002,"{""Name"":""Reproducibility"",""name"":""Reproducibility""}","","should trigger a PDF download when the PDF button is clicked",UNKNOWN
REQ-ICH-E6-001,"{""Name"":""Scientific Validity"",""name"":""Scientific Validity""}","generateRandomizationSchema – new token syntax","{RND:n} produces no duplicate subject IDs across the schema",PASS
REQ-ICH-E9-001,"{""Name"":""Scientific Validity"",""name"":""Scientific Validity""}","Standalone Script","Execute scripts/cross-env/verify_python_schema.py",PASS
REQ-ICH-E9-001,"{""Name"":""Scientific Validity"",""name"":""Scientific Validity""}","ICH E9 – Law of Large Numbers: allocation ratio convergence","1:1 ratio converges to 50 % per arm across 200 Monte Carlo trials",PASS
REQ-ICH-E9-001,"{""Name"":""Scientific Validity"",""name"":""Scientific Validity""}","","should generate a schema and display results grid",UNKNOWN
REQ-ICH-E9-002,"{""Name"":""Scientific Validity"",""name"":""Scientific Validity""}","ICH E9 – Stratum Cap Enforcement: dynamic caps are never exceeded","per-stratum caps are never exceeded across 100 random seeds",PASS
REQ-ICH-E9-003,"{""Name"":""Scientific Validity"",""name"":""Scientific Validity""}","Standalone Script","Execute scripts/cross-env/verify_python_schema.py",PASS
REQ-ICH-E9-003,"{""Name"":""Scientific Validity"",""name"":""Scientific Validity""}","ICH E9 – Block Balance: strict intra-block arm balance","every block has exactly the correct count of each arm for a 1:1 ratio with block size 4",PASS
REQ-SBOM-001,"{""Name"":""Reproducibility"",""name"":""Reproducibility""}","CI Workflow","Job: sbom",UNKNOWN
REQ-ZERO-TRUST-001,"{""Name"":""Zero-Trust"",""name"":""Zero-Trust""}","Zero-Trust Architecture: no outbound network requests","schema generation produces zero outbound XHR/Fetch requests to external servers",UNKNOWN
REQ-ZERO-TRUST-001,"{""Name"":""Zero-Trust"",""name"":""Zero-Trust""}","","CSV export produces zero outbound requests to external servers",UNKNOWN
REQ-ZERO-TRUST-001,"{""Name"":""Zero-Trust"",""name"":""Zero-Trust""}","","PDF export produces zero outbound requests to external servers",UNKNOWN
